User, Scheme, Time, Login, Count, SuccessCount, FailCount, 
"ipt101","ImagePasstiles_Univ",8,1,1,1,0,
"ipt101","ImagePasstiles_Vac",93,0,2,1,1,
"ipt101","ImagePasstiles_Vac",16,0,3,1,2,
"ipt101","ImagePasstiles_Poll",18,1,4,2,2,
"ipt101","ImagePasstiles_Vac",43,0,5,2,3,
"ipt101","ImagePasstiles_Vac",40,0,6,2,4,
"ipt101","ImagePasstiles_Vac",22,0,7,2,5,
"ipt101","ImagePasstiles_Vac",32,0,8,2,6,
"ipt101","ImagePasstiles_Vac",6,1,9,3,6,
"ipt101","ImagePasstiles_Univ",16,0,10,3,7,
"ipt101","ImagePasstiles_Univ",8,0,11,3,8,
"ipt101","ImagePasstiles_Univ",31,0,12,3,9,
"ipt101","ImagePasstiles_Univ",16,0,13,3,10,
"ipt101","ImagePasstiles_Univ",13,1,14,4,10,
"ipt101","ImagePasstiles_Vac",17,0,15,4,11,
"ipt101","ImagePasstiles_Vac",19,0,16,4,12,
"ipt101","ImagePasstiles_Vac",19,0,17,4,13,
"ipt101","ImagePasstiles_Vac",12,1,18,5,13,
"ipt101","ImagePasstiles_Vac",16,1,19,6,13,
"ipt101","ImagePasstiles_Poll",47,0,20,6,14,
"ipt101","ImagePasstiles_Poll",8,0,21,6,15,
"ipt101","ImagePasstiles_Poll",23,0,22,6,16,
"ipt101","ImagePasstiles_Poll",13,1,23,7,16,
"ipt101","ImagePasstiles_Univ",11,1,24,8,16,
"ipt101","ImagePasstiles_Poll",11,1,25,9,16,
"ipt101","ImagePasstiles_Vac",11,1,26,10,16,
"ipt101","ImagePasstiles_Univ",11,1,27,11,16,
"ipt101","ImagePasstiles_Vac",10,1,28,12,16,
"ipt101","ImagePasstiles_Poll",10,1,29,13,16,
"ipt101","ImagePasstiles_Poll",10,1,30,14,16,
"ipt101","ImagePasstiles_Univ",10,1,31,15,16,
"ipt101","ImagePasstiles_Vac",12,1,32,16,16,
"ipt104","ImagePasstiles_Vac",19,1,1,1,0,
"ipt104","ImagePasstiles_Univ",22,1,2,2,0,
"ipt104","ImagePasstiles_Poll",9,1,3,3,0,
"ipt104","ImagePasstiles_Univ",34,1,4,4,0,
"ipt104","ImagePasstiles_Vac",22,1,5,5,0,
"ipt104","ImagePasstiles_Poll",25,1,6,6,0,
"ipt104","ImagePasstiles_Univ",20,1,7,7,0,
"ipt104","ImagePasstiles_Vac",15,1,8,8,0,
"ipt104","ImagePasstiles_Poll",30,1,9,9,0,
"ipt104","ImagePasstiles_Poll",27,1,10,10,0,
"ipt104","ImagePasstiles_Univ",21,1,11,11,0,
"ipt104","ImagePasstiles_Vac",19,1,12,12,0,
"ipt105","ImagePasstiles_Vac",10,1,1,1,0,
"ipt105","ImagePasstiles_Univ",7,1,2,2,0,
"ipt105","ImagePasstiles_Poll",10,1,3,3,0,
"ipt105","ImagePasstiles_Univ",11,0,4,3,1,
"ipt105","ImagePasstiles_Vac",19,0,5,3,2,
"ipt105","ImagePasstiles_Univ",6,1,6,4,2,
"ipt105","ImagePasstiles_Poll",7,0,7,4,3,
"ipt105","ImagePasstiles_Poll",7,0,8,4,4,
"ipt105","ImagePasstiles_Poll",7,1,9,5,4,
"ipt105","ImagePasstiles_Vac",33,1,10,6,4,
"ipt105","ImagePasstiles_Univ",7,1,11,7,4,
"ipt105","ImagePasstiles_Vac",10,1,12,8,4,
"ipt105","ImagePasstiles_Poll",8,1,13,9,4,
"ipt105","ImagePasstiles_Vac",17,0,14,9,5,
"ipt105","ImagePasstiles_Univ",5,1,15,10,5,
"ipt105","ImagePasstiles_Poll",7,1,16,11,5,
"ipt105","ImagePasstiles_Vac",6,1,17,12,5,
"ipt105","ImagePasstiles_Poll",14,0,18,12,6,
"ipt105","ImagePasstiles_Univ",9,1,19,13,6,
"ipt105","ImagePasstiles_Poll",28,0,20,13,7,
"ipt105","ImagePasstiles_Poll",6,1,21,14,7,
"ipt105","ImagePasstiles_Vac",6,1,22,15,7,
"ipt106","ImagePasstiles_Univ",6,1,1,1,0,
"ipt106","ImagePasstiles_Vac",12,0,2,1,1,
"ipt106","ImagePasstiles_Poll",10,1,3,2,1,
"ipt106","ImagePasstiles_Vac",5,0,4,2,2,
"ipt106","ImagePasstiles_Vac",7,0,5,2,3,
"ipt106","ImagePasstiles_Vac",10,0,6,2,4,
"ipt106","ImagePasstiles_Vac",14,0,7,2,5,
"ipt106","ImagePasstiles_Vac",8,1,8,3,5,
"ipt106","ImagePasstiles_Vac",14,1,9,4,5,
"ipt106","ImagePasstiles_Poll",18,1,10,5,5,
"ipt106","ImagePasstiles_Univ",4,1,11,6,5,
"ipt106","ImagePasstiles_Univ",18,1,12,7,5,
"ipt106","ImagePasstiles_Poll",19,1,13,8,5,
"ipt106","ImagePasstiles_Vac",16,1,14,9,5,
"ipt106","ImagePasstiles_Univ",15,1,15,10,5,
"ipt106","ImagePasstiles_Vac",150,1,16,11,5,
"ipt106","ImagePasstiles_Poll",9,0,17,11,6,
"ipt106","ImagePasstiles_Poll",12,1,18,12,6,
"ipt106","ImagePasstiles_Poll",10,1,19,13,6,
"ipt106","ImagePasstiles_Univ",8,1,20,14,6,
"ipt106","ImagePasstiles_Vac",11,1,21,15,6,
"ipt109","ImagePasstiles_Vac",11,1,1,1,0,
"ipt109","ImagePasstiles_Univ",9,1,2,2,0,
"ipt109","ImagePasstiles_Poll",15,1,3,3,0,
"ipt109","ImagePasstiles_Univ",17,1,4,4,0,
"ipt109","ImagePasstiles_Vac",14,1,5,5,0,
"ipt109","ImagePasstiles_Poll",15,1,6,6,0,
"ipt109","ImagePasstiles_Univ",38,1,7,7,0,
"ipt109","ImagePasstiles_Poll",31,1,8,8,0,
"ipt109","ImagePasstiles_Vac",56,1,9,9,0,
"ipt109","ImagePasstiles_Poll",28,1,10,10,0,
"ipt109","ImagePasstiles_Vac",22,1,11,11,0,
"ipt109","ImagePasstiles_Univ",21,1,12,12,0,
"ipt109","ImagePasstiles_Vac",17,1,13,13,0,
"ipt109","ImagePasstiles_Univ",17,1,14,14,0,
"ipt109","ImagePasstiles_Poll",36,1,15,15,0,
"ipt110","ImagePasstiles_Univ",18,0,1,0,1,
"ipt110","ImagePasstiles_Univ",21,0,2,0,2,
"ipt110","ImagePasstiles_Vac",11,0,3,0,3,
"ipt110","ImagePasstiles_Vac",8,1,4,1,3,
"ipt110","ImagePasstiles_Univ",11,1,5,2,3,
"ipt110","ImagePasstiles_Poll",11,1,6,3,3,
"ipt110","ImagePasstiles_Univ",116,0,7,3,4,
"ipt110","ImagePasstiles_Univ",15,1,8,4,4,
"ipt110","ImagePasstiles_Vac",13,1,9,5,4,
"ipt110","ImagePasstiles_Poll",10,1,10,6,4,
"ipt110","ImagePasstiles_Univ",10,1,11,7,4,
"ipt110","ImagePasstiles_Poll",7,1,12,8,4,
"ipt110","ImagePasstiles_Vac",10,1,13,9,4,
"ipt110","ImagePasstiles_Univ",18,1,14,10,4,
"ipt110","ImagePasstiles_Vac",11,1,15,11,4,
"ipt110","ImagePasstiles_Poll",9,1,16,12,4,
"ipt110","ImagePasstiles_Poll",12,1,17,13,4,
"ipt110","ImagePasstiles_Univ",13,1,18,14,4,
"ipt110","ImagePasstiles_Vac",15,1,19,15,4,
"ipt113","ImagePasstiles_Vac",5,1,1,1,0,
"ipt113","ImagePasstiles_Univ",5,1,2,2,0,
"ipt113","ImagePasstiles_Poll",6,1,3,3,0,
"ipt113","ImagePasstiles_Univ",13,0,4,3,1,
"ipt113","ImagePasstiles_Vac",12,0,5,3,2,
"ipt113","ImagePasstiles_Poll",13,0,6,3,3,
"ipt113","ImagePasstiles_Poll",12,0,7,3,4,
"ipt113","ImagePasstiles_Univ",5,1,8,4,4,
"ipt113","ImagePasstiles_Univ",72,1,9,5,4,
"ipt113","ImagePasstiles_Univ",10,1,10,6,4,
"ipt113","ImagePasstiles_Vac",5,1,11,7,4,
"ipt113","ImagePasstiles_Poll",4,0,12,7,5,
"ipt113","ImagePasstiles_Poll",4,0,13,7,6,
"ipt113","ImagePasstiles_Poll",6,0,14,7,7,
"ipt113","ImagePasstiles_Poll",4,0,15,7,8,
"ipt113","ImagePasstiles_Poll",4,1,16,8,8,
"ipt113","ImagePasstiles_Univ",14,1,17,9,8,
"ipt113","ImagePasstiles_Poll",10,0,18,9,9,
"ipt113","ImagePasstiles_Poll",4,1,19,10,9,
"ipt113","ImagePasstiles_Vac",11,0,20,10,10,
"ipt113","ImagePasstiles_Vac",11,0,21,10,11,
"ipt113","ImagePasstiles_Vac",4,1,22,11,11,
"ipt113","ImagePasstiles_Univ",10,1,23,12,11,
"ipt113","ImagePasstiles_Vac",9,1,24,13,11,
"ipt113","ImagePasstiles_Poll",9,1,25,14,11,
"ipt113","ImagePasstiles_Univ",6,0,26,14,12,
"ipt113","ImagePasstiles_Univ",7,1,27,15,12,
"ipt113","ImagePasstiles_Vac",5,1,28,16,12,
"ipt113","ImagePasstiles_Poll",5,1,29,17,12,
"ipt119","ImagePasstiles_Univ",12,1,1,1,0,
"ipt119","ImagePasstiles_Vac",11,1,2,2,0,
"ipt119","ImagePasstiles_Poll",12,1,3,3,0,
"ipt119","ImagePasstiles_Univ",9,1,4,4,0,
"ipt119","ImagePasstiles_Vac",8,0,5,4,1,
"ipt119","ImagePasstiles_Vac",9,0,6,4,2,
"ipt119","ImagePasstiles_Poll",6,1,7,5,2,
"ipt119","ImagePasstiles_Vac",11,1,8,6,2,
"ipt119","ImagePasstiles_Univ",9,1,9,7,2,
"ipt119","ImagePasstiles_Poll",6,1,10,8,2,
"ipt119","ImagePasstiles_Vac",9,1,11,9,2,
"ipt119","ImagePasstiles_Univ",26,1,12,10,2,
"ipt119","ImagePasstiles_Univ",14,1,13,11,2,
"ipt119","ImagePasstiles_Vac",61,1,14,12,2,
"ipt119","ImagePasstiles_Poll",11,1,15,13,2,
"ipt119","ImagePasstiles_Univ",11,1,16,14,2,
"ipt119","ImagePasstiles_Vac",10,1,17,15,2,
"ipt119","ImagePasstiles_Poll",9,1,18,16,2,
"ipt131","ImagePasstiles_Univ",35,1,1,1,0,
"ipt131","ImagePasstiles_Vac",33,1,2,2,0,
"ipt131","ImagePasstiles_Poll",54,1,3,3,0,
"ipt131","ImagePasstiles_Univ",31,1,4,4,0,
"ipt131","ImagePasstiles_Vac",20,1,5,5,0,
"ipt131","ImagePasstiles_Poll",20,1,6,6,0,
"ipt131","ImagePasstiles_Univ",55,0,7,6,1,
"ipt131","ImagePasstiles_Univ",40,1,8,7,1,
"ipt131","ImagePasstiles_Poll",30,0,9,7,2,
"ipt131","ImagePasstiles_Poll",33,1,10,8,2,
"ipt131","ImagePasstiles_Vac",28,1,11,9,2,
"ipt131","ImagePasstiles_Univ",52,0,12,9,3,
"ipt131","ImagePasstiles_Univ",43,1,13,10,3,
"ipt131","ImagePasstiles_Vac",38,1,14,11,3,
"ipt131","ImagePasstiles_Poll",74,1,15,12,3,
"ipt133","ImagePasstiles_Vac",6,0,1,0,1,
"ipt133","ImagePasstiles_Vac",12,1,2,1,1,
"ipt133","ImagePasstiles_Univ",6,1,3,2,1,
"ipt133","ImagePasstiles_Poll",11,1,4,3,1,
"ipt133","ImagePasstiles_Univ",14,1,5,4,1,
"ipt133","ImagePasstiles_Vac",18,1,6,5,1,
"ipt133","ImagePasstiles_Poll",21,1,7,6,1,
"ipt133","ImagePasstiles_Univ",14,1,8,7,1,
"ipt133","ImagePasstiles_Poll",16,1,9,8,1,
"ipt133","ImagePasstiles_Vac",12,1,10,9,1,
"ipt133","ImagePasstiles_Univ",-1141,1,11,10,1,
"ipt133","ImagePasstiles_Vac",15,1,12,11,1,
"ipt133","ImagePasstiles_Poll",16,1,13,12,1,
"ipt133","ImagePasstiles_Vac",20,1,14,13,1,
"ipt133","ImagePasstiles_Univ",16,1,15,14,1,
"ipt133","ImagePasstiles_Poll",16,1,16,15,1,
"ipt134","ImagePasstiles_Vac",8,1,1,1,0,
"ipt134","ImagePasstiles_Univ",5,1,2,2,0,
"ipt134","ImagePasstiles_Poll",13,1,3,3,0,
"ipt134","ImagePasstiles_Univ",20,1,4,4,0,
"ipt134","ImagePasstiles_Vac",31,0,5,4,1,
"ipt134","ImagePasstiles_Vac",24,0,6,4,2,
"ipt134","ImagePasstiles_Poll",29,1,7,5,2,
"ipt134","ImagePasstiles_Vac",24,0,8,5,3,
"ipt134","ImagePasstiles_Vac",132,0,9,5,4,
"ipt134","ImagePasstiles_Vac",23,1,10,6,4,
"ipt134","ImagePasstiles_Univ",18,1,11,7,4,
"ipt134","ImagePasstiles_Poll",29,1,12,8,4,
"ipt134","ImagePasstiles_Vac",18,0,13,8,5,
"ipt134","ImagePasstiles_Vac",18,1,14,9,5,
"ipt134","ImagePasstiles_Univ",28,1,15,10,5,
"ipt134","ImagePasstiles_Vac",21,1,16,11,5,
"ipt134","ImagePasstiles_Poll",48,1,17,12,5,
"ipt134","ImagePasstiles_Poll",22,1,18,13,5,
"ipt134","ImagePasstiles_Univ",21,1,19,14,5,
"ipt134","ImagePasstiles_Vac",16,1,20,15,5,
"ipt136","ImagePasstiles_Vac",11,1,1,1,0,
"ipt136","ImagePasstiles_Univ",8,1,2,2,0,
"ipt136","ImagePasstiles_Poll",17,1,3,3,0,
"ipt136","ImagePasstiles_Univ",20,1,4,4,0,
"ipt136","ImagePasstiles_Poll",21,0,5,4,1,
"ipt136","ImagePasstiles_Vac",16,0,6,4,2,
"ipt136","ImagePasstiles_Vac",15,0,7,4,3,
"ipt136","ImagePasstiles_Vac",13,1,8,5,3,
"ipt136","ImagePasstiles_Poll",16,1,9,6,3,
"ipt136","ImagePasstiles_Univ",10,1,10,7,3,
"ipt136","ImagePasstiles_Poll",11,1,11,8,3,
"ipt136","ImagePasstiles_Vac",16,1,12,9,3,
"ipt136","ImagePasstiles_Univ",7,1,13,10,3,
"ipt136","ImagePasstiles_Vac",10,1,14,11,3,
"ipt136","ImagePasstiles_Poll",11,1,15,12,3,
"ipt136","ImagePasstiles_Poll",15,1,16,13,3,
"ipt136","ImagePasstiles_Univ",12,1,17,14,3,
"ipt136","ImagePasstiles_Vac",10,1,18,15,3,
"ipt137","ImagePasstiles_Vac",18,1,1,1,0,
"ipt137","ImagePasstiles_Univ",12,1,2,2,0,
"ipt137","ImagePasstiles_Poll",16,0,3,2,1,
"ipt137","ImagePasstiles_Poll",15,0,4,2,2,
"ipt137","ImagePasstiles_Poll",19,1,5,3,2,
"ipt137","ImagePasstiles_Poll",16,0,6,3,3,
"ipt137","ImagePasstiles_Poll",41,0,7,3,4,
"ipt137","ImagePasstiles_Poll",30,1,8,4,4,
"ipt137","ImagePasstiles_Univ",19,1,9,5,4,
"ipt137","ImagePasstiles_Vac",19,1,10,6,4,
"ipt137","ImagePasstiles_Poll",31,1,11,7,4,
"ipt137","ImagePasstiles_Univ",15,1,12,8,4,
"ipt137","ImagePasstiles_Poll",21,1,13,9,4,
"ipt137","ImagePasstiles_Vac",14,1,14,10,4,
"ipt137","ImagePasstiles_Univ",15,1,15,11,4,
"ipt137","ImagePasstiles_Vac",14,1,16,12,4,
"ipt137","ImagePasstiles_Poll",26,1,17,13,4,
"ipt137","ImagePasstiles_Poll",19,1,18,14,4,
"ipt137","ImagePasstiles_Univ",24,1,19,15,4,
"ipt137","ImagePasstiles_Vac",17,1,20,16,4,
"ipt143","ImagePasstiles_Vac",5,1,1,1,0,
"ipt143","ImagePasstiles_Univ",8,1,2,2,0,
"ipt143","ImagePasstiles_Poll",8,1,3,3,0,
"ipt143","ImagePasstiles_Univ",23,0,4,3,1,
"ipt143","ImagePasstiles_Univ",14,0,5,3,2,
"ipt143","ImagePasstiles_Univ",5,1,6,4,2,
"ipt143","ImagePasstiles_Vac",10,1,7,5,2,
"ipt143","ImagePasstiles_Poll",7,1,8,6,2,
"ipt143","ImagePasstiles_Poll",27,1,9,7,2,
"ipt143","ImagePasstiles_Vac",178,1,10,8,2,
"ipt143","ImagePasstiles_Univ",6,1,11,9,2,
"ipt143","ImagePasstiles_Vac",30,1,12,10,2,
"ipt143","ImagePasstiles_Poll",11,1,13,11,2,
"ipt143","ImagePasstiles_Univ",5,1,14,12,2,
"ipt143","ImagePasstiles_Poll",10,1,15,13,2,
"ipt143","ImagePasstiles_Univ",38,1,16,14,2,
"ipt143","ImagePasstiles_Vac",10,0,17,14,3,
"ipt143","ImagePasstiles_Vac",11,1,18,15,3,
"ipt145","ImagePasstiles_Univ",21,1,1,1,0,
"ipt145","ImagePasstiles_Vac",22,1,2,2,0,
"ipt145","ImagePasstiles_Poll",18,1,3,3,0,
"ipt145","ImagePasstiles_Univ",27,1,4,4,0,
"ipt145","ImagePasstiles_Vac",27,1,5,5,0,
"ipt145","ImagePasstiles_Poll",34,0,6,5,1,
"ipt145","ImagePasstiles_Poll",31,1,7,6,1,
"ipt145","ImagePasstiles_Univ",24,1,8,7,1,
"ipt145","ImagePasstiles_Poll",41,1,9,8,1,
"ipt145","ImagePasstiles_Vac",29,1,10,9,1,
"ipt145","ImagePasstiles_Univ",20,1,11,10,1,
"ipt145","ImagePasstiles_Vac",19,1,12,11,1,
"ipt145","ImagePasstiles_Poll",20,1,13,12,1,
"ipt145","ImagePasstiles_Poll",25,1,14,13,1,
"ipt145","ImagePasstiles_Univ",24,1,15,14,1,
"ipt145","ImagePasstiles_Vac",23,1,16,15,1,
